Station,avg_visiblity,avg rainfall,latitute,longitude,avg_cloud_cover
ADILABAD [43025],10.15699951765847,32.56333333333333,19.54570375,78.60867589700759,2.493150684931507
ADIRAMAPATTINAM [43348],12.55980861244019,37.70666666666667,10.34059,79.37905,4.249315068493151
AGARTALA [42724],3.0565369615669886,70.26666666666667,23.8312377,91.2823821,4.193150684931507
AGATTI [43266],8.128969036741031,52.43,10.9478981,72.3177271359032,4.391780821917808
AGRA (TAJ) [42259],4.254126474930346,23.12,27.1842702,78.0270801,1.795890410958904
AHMEDABAD [42647],4.172609391501268,26.12,23.0215374,72.5800568,2.7904109589041095
AHMEDNAGAR [43009],11.320269855147805,20.27,19.162772500000003,74.85802430085195,2.2013698630136984
AJMER [42343],4.010023751477927,19.046666666666667,26.4691,74.639,2.0931506849315067
AKOLA [42933],12.295713103235865,26.113333333333333,20.76181225,77.1921156663574,2.463013698630137
ALAPPUZHA [43352],7.647502514247401,94.41333333333334,9.5006651,76.41241428564258,4.906849315068493
ALIBAG [43058],7.1383603284111405,80.29333333333334,18.6498427,72.8765469,2.458904109589041
ALIGARH [42262],2.3763168174405847,23.759999999999998,27.8761073,78.13581531245276,1.7328767123287672
ALWAR [42255],8.838139251715742,0.0,27.41400485,76.61703869600933,0.0
AMBALA [42103],2.589807006162829,30.683333333333334,30.3843674,76.770421,2.8465753424657536
AMBIKAPUR [42693],4.88317334277902,45.973333333333336,23.1226343,83.1981886,2.5356164383561643
AMINIDIVI [43311],13.416299096828396,53.669999999999995,11.16166785,72.04450037714275,4.610958904109589
AMRAVATI [42937],6.387968451019741,25.436666666666667,21.15454115,77.64429617998744,0.7315068493150685
AMRELI [42834],5.027535018929505,20.5,21.4176122,71.24960898982046,0.0
AMRITSAR [42071],2.090595185494297,22.973333333333336,31.6343083,74.8736788,2.952054794520548
ANANTAPUR [43237],12.31562710884026,20.063333333333333,14.72421995,77.43067380798242,4.021917808219178
ANGUL [42969],4.2294322132097335,42.419999999999995,20.8382426,85.0973949,1.836986301369863
ARIYALUR [43324],8.67403289908473,23.60666666666667,11.1530559,79.25857973608959,0.0
AROGYAVARAM [43271],17.161011257086052,27.220000000000002,18.943505,84.5853496,4.576712328767123
ASANSOL [42712],2.520917199463256,0.0,23.6871297,86.9746587,0.0
AURANGABAD (CHIKALTHANA) [43014],3.8764982551964797,27.05666666666667,19.867076,75.4057809,2.697260273972603
BAGALKOT [43160],15.60896339377352,18.44333333333333,16.1793224,75.6999315,0.0
BAGATI [42714],5.473686315284332,50.30333333333333,22.985535400000003,88.38295437487571,2.893150684931507
BAHRAICH [42273],2.1975092028761134,39.95333333333333,27.734382250000003,81.47653998303304,3.080821917808219
BALASORE [42895],5.279274662787622,57.02333333333333,21.5006421,86.919884,3.8068493150684932
BALEHONNUR [43259],12.219033955045433,87.78,13.3478824,75.4616697,0.0
BALLIA (MIRDHA) [42384],2.780679987810718,29.65,25.75867,84.148743,0.0
BALURGHAT [42506],7.420767693666062,48.11333333333334,25.2234352,88.7780654,2.665753424657534
BANDA [42473],5.719893139113174,28.55,25.4775297,80.334921,1.3904109589041096
BANIHAL [42045],5.395759418820748,45.49333333333333,33.444297899999995,75.16109232255917,3.2739726027397262
BANKURA [42706],2.6733771397480437,54.193333333333335,23.132377,87.20819250835955,3.4205479452054797
BAPATLA [43220],8.323198540589846,34.28333333333333,15.9346161,80.38697056600418,3.8958904109589043
BARABANKI [42370],3.6462495718689345,29.71333333333333,26.9421406,81.38560869842297,1.826027397260274
BARAMATI [43069],11.716457151242418,17.473333333333336,18.21985375,74.45340540036307,0.0
BARAPANI [42512],3.006703005996931,72.43666666666667,25.6943784,91.9762547,3.9287671232876713
BAREILLY [42189],2.1344553727569417,39.55,28.45823445,79.40474517998476,2.9164383561643836
BARIPADA [42894],5.284224401328054,57.21666666666667,21.9342456,86.7308825,2.802739726027397
BARMER [42435],5.87383327969102,10.146666666666667,25.5814853,71.19249222700306,2.032876712328767
BASTI [42279],5.179824027896038,0.0,27.25,83.0,0.0
BATOTE [42043],3.775676075070193,50.96666666666667,33.1227262,75.3210211,3.202739726027397
BEED [43011],14.633447880870563,23.5,18.9918442,75.90978399809711,0.0
BELGAUM (A) [43198],8.194565607841124,44.3,15.8572666,74.5069343,3.973972602739726
BELGAUM [43197],11.718821665983768,32.85666666666667,15.8572666,74.5069343,0.0
BENGALURU (HAL) [43296],5.066067066400178,35.919999999999995,12.9767936,77.590082,4.961643835616439
BENGALURU (KIA) [43293],5.066067066400178,31.779999999999998,12.971833,77.6566954,0.0
BENGALURU [43295],8.65315577712451,0.0,13.1976048,77.7074856433438,4.732876712328767
BERHAMPORE [42603],6.453541238675783,45.66,24.0510297,88.23779874587402,1.895890410958904
BETUL [42860],6.3380421444660175,40.669999999999995,21.8797472,77.87536507259225,2.9945205479452053
BHADERWAH [42048],6.193679134290923,40.93,32.98066025,75.65281205153984,3.282191780821918
BHADRACHALAM (KOTHAGUDEM) [43136],6.6735971080208545,37.64333333333333,17.5512916,80.6144535,2.8589041095890413
BHAGALPUR [42498],2.5642106446355304,38.72,25.24214,86.972603,3.1616438356164385
BHARATPUR [42258],2.9138060807882673,22.236666666666668,27.0246959,77.29201163357268,1.9383561643835616
BHAVNAGAR [42838],4.973332814264025,23.933333333333334,21.7718836,72.1416449,2.4287671232876713
BHAWANIPATNA [43042],11.471597133672168,42.09,19.9104952,83.1678321,0.0
BHILWARA [42447],8.206392099594444,18.816666666666666,25.48911765,74.33007256947698,0.0
BHOPAL (BAIRAGARH) [42667],3.964920411917211,36.7,23.29064585,77.32942176517878,2.7945205479452055
BHUBANESWAR [42971],3.8546643198390744,55.26,20.2602964,85.8394521,3.8698630136986303
BHUJ [42634],6.399018232819074,12.34,23.2472446,69.668339,2.335616438356164
BHUNTAR [42081],7.334338675168694,30.896666666666665,32.0030576,77.47947133683763,3.1095890410958904
BIDAR [43125],13.400818210426939,27.896666666666665,18.02072965,77.24872035766641,0.0
BIJAPUR [43161],8.11605804172702,21.58,16.8269911,75.7175387,0.0
BIKANER [42165],3.366094013490725,9.53,28.0159286,73.3171367,1.884931506849315
BILASPUR [42782],6.686381241494819,40.269999999999996,30.3612115,77.3229651442197,0.0
BOLANGIR [42963],6.899090562152121,48.57,20.7502257,83.2499464,2.0178082191780824
BRAHMAPURI [42946],3.271480373678603,43.31333333333334,20.2405611,76.50872707489506,2.5095890410958903
BULANDSHAHAR [42183],4.661558109833972,0.0,28.5246712,77.5996529,0.0
BULDHANA [42931],10.951188986232792,29.240000000000002,20.562845000000003,76.40869861474177,1.8164383561643835
BUNDI [42450],6.4357898767082355,24.56,25.4367659,75.736147085863,0.0
BURDWAN [42709],3.9402257726235272,45.413333333333334,23.2495714,87.8681751,0.0
CANNING [42812],3.0452581377720076,62.3,22.310373,88.6578971,3.6232876712328768
CAR NICOBAR [43367],7.381463234246137,85.98,9.187057,92.7730136148387,4.987671232876712
CHAIBASA [42795],14.755139755139757,39.36666666666667,22.5483518,85.81888764651222,0.0
CHANDABALI [42973],4.7797510663241125,54.29,20.8287719,86.74779457687976,3.4164383561643836
CHANDIGARH [42105],3.6718070368397457,34.61333333333334,30.7334421,76.7797143,2.789041095890411
CHANDRAPUR [43029],5.6791744340089565,41.86,20.0967555,79.50454752230621,2.4273972602739726
CHAPARMUKH [42414],5.417619668256495,53.013333333333335,26.2036571,92.5157423,0.0
CHAPRA [42488],14.802898393986915,34.309999999999995,25.7733443,84.78497716754097,0.0
CHENNAI (MEENAMBAKKAM) [43279],9.52221228384019,46.94666666666667,12.993374,80.17258667392555,4.6068493150684935
CHENNAI (NUNGAMBAKKAM) [43278],11.815502432467428,45.89333333333333,13.0559779,80.2426006,4.495890410958904
CHHINDWARA [42768],19.71166704384142,32.88666666666667,22.20718965,78.79883295930742,2.736986301369863
CHICKMAGALUR [43260],8.73918575643838,31.23,13.32231,75.774,0.0
CHINTAMANI [43272],9.52955217942661,27.023333333333333,13.3986587,78.0533058,0.0
CHITRADURGA [43233],11.74547037046118,23.69333333333333,14.3049174,76.52972341987515,4.101369863013699
CHITTORGARH [42546],3.9528239613845453,27.403333333333332,24.7171578,74.47181293724019,1.7575342465753425
CHURK [42589],3.121258765178724,37.123333333333335,24.6363468,83.1044244,2.202739726027397
CHURU [42170],4.078559494290549,14.206666666666667,28.20477805,74.69129960764752,2.0493150684931507
COIMBATORE (A) [43321],5.397051161087719,20.616666666666667,11.1402544,76.9383898,4.53013698630137
CONTAI [42900],6.0579093455403035,58.95333333333333,21.7805923,87.7448286,3.221917808219178
COOCH BEHAR [42403],3.3345514343139047,110.91333333333334,26.2559197,89.42011428381527,3.878082191780822
